Dates,PX_LAST,PX_HIGH,PX_LOW,PX_VOLUME
1/1/04,1111.92,1112.56,1106.21,841345300
1/2/04,1108.48,1118.85,1105.08,972365100
1/5/04,1122.22,1122.22,1108.48,1333518000
1/6/04,1123.67,1124.46,1118.44,1258071000
1/7/04,1126.33,1126.33,1116.45,1396756000
1/8/04,1131.92,1131.92,1124.91,1597503000
1/9/04,1121.86,1131.36,1120.9,1414506000
1/12/04,1127.23,1127.85,1120.9,1188868000
1/13/04,1121.22,1129.07,1115.19,1315690000
1/14/04,1130.52,1130.75,1121.22,1246037000
1/15/04,1132.05,1137.11,1124.5,1494432000
1/16/04,1139.83,1139.83,1132.05,1603334000
1/19/04,1139.83,1139.83,1132.05,1603334000
1/20/04,1138.77,1142.93,1135.4,1464223000
1/21/04,1147.62,1149.21,1134.62,1425525000
1/22/04,1143.94,1150.51,1143.01,1422311000
1/23/04,1141.55,1150.31,1136.85,1339264000
1/26/04,1155.37,1155.38,1141,1200208000
1/27/04,1144.05,1155.37,1144.05,1397574000
1/28/04,1128.48,1149.14,1126.5,1520364000
1/29/04,1134.12,1134.39,1122.38,1671898000
1/30/04,1131.13,1134.17,1127.73,1347438000
2/2/04,1135.26,1142.58,1127.87,1316050000
2/3/04,1136.03,1137.44,1131.33,1172456000
2/4/04,1126.53,1136.03,1124.74,1449051000
2/5/04,1128.59,1131.17,1124.44,1303167000
2/6/04,1142.76,1142.79,1128.39,1191540000
2/9/04,1139.81,1144.46,1139.21,1014304000
2/10/04,1145.54,1147.02,1138.7,1076924000
2/11/04,1157.76,1158.89,1142.33,1416037000
2/12/04,1152.11,1157.76,1151.44,1125631000
2/13/04,1145.81,1156.88,1143.23,1078958000
2/16/04,1145.81,1156.88,1143.23,1078958000
2/17/04,1156.99,1158.98,1145.81,1111860000
2/18/04,1151.82,1157.4,1149.42,1078159000
2/19/04,1147.06,1158.57,1146.83,1292476000
2/20/04,1144.11,1149.81,1139,1216891000
2/23/04,1141,1146.69,1136.98,1215720000
2/24/04,1139.09,1144.54,1134.43,1291226000
2/25/04,1143.67,1145.24,1138.71,1073769000
2/26/04,1144.91,1147.23,1138.62,1091777000
2/27/04,1144.94,1151.68,1141.8,1244547000
3/1/04,1155.96,1157.45,1144.94,1130142000
3/2/04,1149.1,1156.54,1147.31,1164208000
3/3/04,1151.04,1152.44,1143.78,1036452000
3/4/04,1154.88,1154.97,1149.81,953749000
3/5/04,1156.87,1163.23,1148.71,1196823000
3/8/04,1147.21,1159.94,1146.97,1030691000
3/9/04,1140.58,1147.32,1136.84,1245100000
3/10/04,1123.89,1141.51,1122.53,1362098000
3/11/04,1106.78,1125.96,1105.87,1512997000
3/12/04,1120.57,1120.63,1106.78,1136237000
3/15/04,1104.49,1120.57,1103.36,1184640000
3/16/04,1110.7,1113.82,1102.61,1177283000
3/17/04,1123.75,1125.76,1110.7,1080202000
3/18/04,1122.32,1125.5,1113.25,1083078000
3/19/04,1109.78,1122.72,1109.69,1223713000
3/22/04,1095.4,1109.78,1089.49,1203118000
3/23/04,1093.95,1101.52,1091.57,1179058000
3/24/04,1091.33,1098.39,1087.06,1214021000
3/25/04,1109.19,1110.38,1091.33,1227554000
3/26/04,1108.06,1115.27,1106.13,1049255000
3/29/04,1122.47,1124.37,1108.06,1083219000
3/30/04,1127,1127.6,1119.66,976057500
3/31/04,1126.21,1130.83,1121.46,1169963000
4/1/04,1132.17,1135.67,1126.2,1197328000
4/2/04,1141.81,1144.81,1132.17,1378250000
4/5/04,1150.57,1150.57,1141.64,1076602000
4/6/04,1148.16,1150.57,1143.3,1033030000
4/7/04,1140.53,1148.16,1138.41,1105973000
4/8/04,1139.32,1148.97,1134.52,979513900
4/9/04,1139.32,1148.97,1134.52,979513900
4/12/04,1145.2,1147.29,1139.32,798326800
4/13/04,1129.44,1147.81,1127.7,1037385000
4/14/04,1128.17,1132.52,1122.15,1164230000
4/15/04,1128.84,1134.08,1120.75,1260775000
4/16/04,1134.61,1136.8,1126.79,1171216000
4/19/04,1135.82,1136.18,1129.84,923043300
4/20/04,1118.15,1139.26,1118.09,1158221000
4/21/04,1124.09,1125.72,1116.03,1352062000
4/22/04,1139.93,1142.77,1121.92,1457848000
4/23/04,1140.6,1141.92,1134.81,1175046000
4/26/04,1135.53,1145.08,1132.91,991293800
4/27/04,1138.11,1146.84,1135.53,1159455000
4/28/04,1122.41,1138.11,1121.7,1270800000
4/29/04,1113.89,1128.8,1108.02,1459403000
4/30/04,1107.31,1119.26,1107.23,1305238000
5/3/04,1117.49,1118.72,1107.3,1245877000
5/4/04,1119.55,1127.74,1112.89,1224750000
5/5/04,1121.53,1125.07,1117.86,1084868000
5/6/04,1113.99,1121.53,1106.3,1151298000
5/7/04,1098.7,1117.33,1098.63,1204890000
5/10/04,1087.12,1098.7,1079.63,1411363000
5/11/04,1095.45,1095.69,1087.12,1178863000
5/12/04,1097.28,1097.55,1076.32,1323600000
5/13/04,1096.44,1102.77,1091.76,1110622000
5/14/04,1095.7,1102.37,1088.24,1031090000
5/17/04,1084.1,1095.7,1079.36,1100631000
5/18/04,1091.49,1094.14,1084.1,999094800
5/19/04,1088.68,1105.93,1088.49,1228981000
5/20/04,1089.19,1092.62,1085.43,961973800
5/21/04,1093.56,1099.7,1089.19,1023942000
5/24/04,1095.41,1101.71,1091.77,995857500
5/25/04,1113.05,1113.8,1090.74,1223022000
5/26/04,1114.94,1116.71,1109.91,1105244000
5/27/04,1121.28,1123.95,1114.86,1155525000
5/28/04,1120.68,1122.69,1118.1,909365200
5/31/04,1120.68,1122.69,1118.1,909365200
6/1/04,1121.2,1122.7,1113.32,968822100
6/2/04,1124.99,1128.1,1118.64,1009649000
6/3/04,1116.64,1125.31,1116.56,954095000
6/4/04,1122.5,1129.17,1116.64,913039000
6/7/04,1140.42,1140.54,1122.5,964096400
6/8/04,1142.18,1142.18,1135.45,966790200
6/9/04,1131.33,1142.18,1131.11,955816800
6/10/04,1136.47,1136.47,1131.33,874165200
6/11/04,1136.47,1136.47,1131.33,874165200
6/14/04,1125.29,1136.47,1122.16,854489900
6/15/04,1132.01,1137.36,1125.29,1092464000
6/16/04,1133.56,1135.28,1130.55,873745200
6/17/04,1132.05,1133.56,1126.88,985981400
6/18/04,1135.02,1139.08,1129.82,1289883000
6/21/04,1130.3,1138.05,1129.64,906256800
6/22/04,1134.41,1135.05,1124.37,1127274000
6/23/04,1144.06,1145.16,1131.73,1172528000
6/24/04,1140.65,1146.34,1139.94,1098808000
6/25/04,1134.43,1145.97,1134.24,1447493000
6/28/04,1133.35,1142.6,1131.62,1071516000
6/29/04,1136.2,1138.26,1131.81,1088284000
6/30/04,1140.84,1144.22,1133.62,1140213000
7/1/04,1128.94,1140.84,1123.06,1225357000
7/2/04,1125.38,1129.18,1123.26,845269100
7/5/04,1125.38,1129.18,1123.26,845269100
7/6/04,1116.21,1125.38,1113.21,1159080000
7/7/04,1118.33,1122.37,1114.92,1138803000
7/8/04,1109.11,1119.12,1108.72,1196199000
7/9/04,1112.81,1115.57,1109.11,976048700
7/12/04,1114.35,1116.11,1106.71,910502300
7/13/04,1115.14,1116.3,1112.99,934121900
7/14/04,1111.47,1119.6,1107.83,1285265000
7/15/04,1106.69,1114.67,1106.6,1108581000
7/16/04,1101.39,1112.17,1101.07,1227874000
7/19/04,1100.9,1105.52,1096.55,1094803000
7/20/04,1108.67,1108.88,1099.1,1159034000
7/21/04,1093.88,1116.27,1093.88,1327757000
7/22/04,1096.85,1099.69,1084.16,1302680000
7/23/04,1086.2,1096.84,1083.49,1085472000
7/26/04,1084.07,1089.82,1078.78,1126301000
7/27/04,1094.83,1096.65,1084.07,1269812000
7/28/04,1095.42,1098.84,1082.17,1234400000
7/29/04,1100.43,1103.71,1095.42,1179486000
7/30/04,1101.72,1103.73,1096.96,1045809000
8/2/04,1106.62,1108.6,1097.34,953922900
8/3/04,1099.69,1106.62,1099.2,1008574000
8/4/04,1098.63,1102.45,1092.4,1050503000
8/5/04,1080.7,1098.83,1079.98,1069019000
8/6/04,1063.97,1080.7,1062.23,1183876000
8/9/04,1065.22,1069.46,1063.97,825719900
8/10/04,1079.04,1079.04,1065.22,947318600
8/11/04,1075.8,1079.04,1065.92,1135461000
8/12/04,1063.23,1075.79,1062.82,1166210000
8/13/04,1064.8,1067.58,1060.72,955275300
8/16/04,1079.34,1080.66,1064.8,947937500
8/17/04,1081.71,1086.96,1079.34,1004745000
8/18/04,1095.17,1095.17,1078.93,1053096000
8/19/04,1091.23,1095.17,1086.28,969277400
8/20/04,1098.35,1100.26,1089.57,914747800
8/23/04,1095.68,1101.4,1094.73,772913100
8/24/04,1096.19,1100.94,1092.82,836088800
8/25/04,1104.96,1106.29,1093.24,914600600
8/26/04,1105.09,1106.78,1102.43,779395500
8/27/04,1107.77,1109.68,1104.61,649030300
8/30/04,1099.15,1107.77,1099.15,642036000
8/31/04,1104.24,1104.24,1094.72,922629800
9/1/04,1105.91,1109.25,1099.11,980408000
9/2/04,1118.31,1119.11,1105.6,947536300
9/3/04,1113.63,1120.8,1113.57,876119600
9/6/04,1113.63,1120.8,1113.57,876119600
9/7/04,1121.3,1124.08,1113.63,1027975000
9/8/04,1116.27,1123.05,1116.27,1105387000
9/9/04,1118.38,1121.3,1113.62,1174074000
9/10/04,1123.92,1125.26,1114.39,1160690000
9/13/04,1125.82,1129.78,1123.35,1175405000
9/14/04,1128.33,1129.46,1124.72,1092439000
9/15/04,1120.37,1128.33,1119.74,1154035000
9/16/04,1123.5,1126.06,1120.37,910618900
9/17/04,1128.55,1130.48,1123.5,1343554000
9/20/04,1122.2,1128.55,1120.34,1060804000
9/21/04,1129.3,1131.54,1122.2,1136078000
9/22/04,1113.56,1129.3,1112.67,1229012000
9/23/04,1108.36,1113.61,1108.05,1128850000
9/24/04,1110.11,1113.81,1108.36,1093153000
9/27/04,1103.52,1110.11,1103.24,1049395000
9/28/04,1110.06,1111.77,1101.29,1184472000
9/29/04,1114.8,1114.8,1107.36,1191892000
9/30/04,1114.58,1116.31,1109.61,1508184000
10/1/04,1131.5,1131.64,1114.58,1387682000
10/4/04,1135.17,1140.19,1131.5,1329192000
10/5/04,1134.48,1137.87,1132.03,1194562000
10/6/04,1142.05,1142.05,1132.94,1186127000
10/7/04,1130.65,1142.05,1130.46,1191309000
10/8/04,1122.14,1132.92,1120.19,1115697000
10/11/04,1124.39,1126.2,1122.14,764117200
10/12/04,1121.84,1124.39,1115.77,1127828000
10/13/04,1113.65,1127.01,1109.63,1338830000
10/14/04,1103.29,1114.97,1102.06,1249002000
10/15/04,1108.2,1113.17,1102.14,1436318000
10/18/04,1114.02,1114.46,1103.33,1154657000
10/19/04,1103.23,1118.03,1103.15,1457789000
10/20/04,1103.66,1104.09,1094.25,1412839000
10/21/04,1106.49,1108.96,1098.47,1472183000
10/22/04,1095.73,1108.32,1095.29,1282671000
10/25/04,1094.81,1096.81,1090.19,1147019000
10/26/04,1111.09,1111.1,1094.81,1449885000
10/27/04,1125.4,1126.29,1107.43,1454046000
10/28/04,1127.44,1130.67,1120.57,1350260000
10/29/04,1130.2,1131.44,1124.62,1299349000
11/1/04,1130.51,1133.43,1127.53,1238979000
11/2/04,1130.55,1140.48,1128.12,1430281000
11/3/04,1143.19,1147.6,1130.54,1513717000
11/4/04,1161.67,1161.67,1142.34,1498277000
11/5/04,1166.17,1170.87,1160.36,1491012000
11/8/04,1164.89,1166.86,1162.32,1134379000
11/9/04,1164.08,1168.97,1162.48,1217103000
11/10/04,1162.91,1169.35,1162.51,1322735000
11/11/04,1173.48,1174.82,1162.91,1163800000
11/12/04,1184.17,1184.17,1171.39,1348603000
11/15/04,1183.82,1184.48,1179.85,1200008000
11/16/04,1175.43,1183.81,1175.32,1096588000
11/17/04,1181.94,1188.46,1175.43,1437929000
11/18/04,1183.55,1184.9,1180.09,1255783000
11/19/04,1170.34,1184,1169.17,1309312000
11/22/04,1177.24,1178.18,1167.89,1178066000
11/23/04,1176.94,1179.52,1171.41,1184250000
11/24/04,1181.76,1182.46,1176.94,949323000
11/25/04,1181.76,1182.46,1176.94,949323000
11/26/04,1182.65,1186.62,1181.08,400228800
11/29/04,1178.57,1186.94,1172.37,1126267000
11/30/04,1173.82,1178.66,1173.81,1308905000
12/1/04,1191.37,1191.37,1173.78,1484897000
12/2/04,1190.33,1194.81,1186.66,1450745000
12/3/04,1191.17,1197.46,1187.7,1418840000
12/6/04,1190.25,1192.41,1185.18,1146900000
12/7/04,1177.08,1192.19,1177.07,1339426000
12/8/04,1182.81,1184.05,1176.8,1214282000
12/9/04,1189.24,1190.51,1173.76,1449120000
12/10/04,1188,1191.45,1185.24,1211741000
12/13/04,1198.68,1198.77,1188,1351696000
12/14/04,1203.38,1205.29,1197.84,1466655000
12/15/04,1205.72,1206.61,1199.44,1500086000
12/16/04,1203.21,1207.97,1198.41,1631359000
12/17/04,1194.22,1203.21,1193.44,2174882000
12/20/04,1194.65,1203.64,1193.36,1281658000
12/21/04,1205.45,1205.93,1194.65,1310229000
12/22/04,1209.57,1211.42,1203.81,1251994000
12/23/04,1210.13,1213.66,1208.71,857998000
12/24/04,1210.13,1213.66,1208.71,857998000
12/27/04,1204.92,1214.17,1204.92,813642900
12/28/04,1213.54,1213.54,1204.92,839610100
12/29/04,1213.45,1213.95,1210.95,804987500
12/30/04,1213.55,1216.47,1213.41,710209200
12/31/04,1211.92,1217.33,1211.65,682477100
1/3/05,1202.08,1217.9,1200.3,1343538000
1/4/05,1188.05,1205.84,1185.39,1565300000
1/5/05,1183.74,1192.75,1183.72,1437634000
1/6/05,1187.88,1191.63,1183.23,1341172000
1/7/05,1186.19,1192.2,1182.11,1283373000
1/10/05,1190.24,1194.78,1184.8,1221462000
1/11/05,1182.99,1190.25,1180.43,1323775000
1/12/05,1187.7,1187.98,1175.64,1438750000
1/13/05,1177.45,1187.7,1175.61,1358031000
1/14/05,1184.52,1185.21,1177.45,1191154000
1/17/05,1184.52,1185.21,1177.45,1191154000
1/18/05,1195.98,1195.98,1180.1,1405820000
1/19/05,1184.63,1195.98,1184.37,1346899000
1/20/05,1175.41,1184.63,1173.39,1465231000
1/21/05,1167.87,1179.55,1167.82,1411054000
1/24/05,1163.75,1173.17,1163.75,1317752000
1/25/05,1168.41,1174.3,1163.75,1364984000
1/26/05,1174.07,1175.99,1168.41,1414472000
1/27/05,1174.55,1177.5,1170.15,1436533000
1/28/05,1171.36,1175.63,1166.3,1548703000
1/31/05,1181.27,1182.07,1171.36,1429739000
2/1/05,1189.41,1190.39,1180.95,1430281000
2/2/05,1193.18,1195.25,1188.92,1387790000
2/3/05,1189.89,1193.19,1185.63,1324172000
2/4/05,1203.03,1203.47,1189.67,1374914000
2/7/05,1201.72,1204.15,1199.27,1109938000
2/8/05,1202.3,1205.11,1200.16,1232518000
2/9/05,1191.99,1203.83,1191.54,1269538000
2/10/05,1197.01,1198.75,1191.54,1250620000
2/11/05,1205.3,1208.38,1193.28,1340709000
2/14/05,1206.14,1206.93,1203.59,1080688000
2/15/05,1210.13,1212.44,1205.52,1306663000
2/16/05,1210.34,1212.44,1205.06,1280754000
2/17/05,1200.75,1211.33,1200.74,1316478000
2/18/05,1201.59,1202.92,1197.35,1324012000
2/21/05,1201.59,1202.92,1197.35,1324012000
2/22/05,1184.16,1202.48,1184.16,1469405000
2/23/05,1190.8,1193.52,1184.16,1303227000
2/24/05,1200.2,1200.42,1187.8,1319171000
2/25/05,1211.37,1212.15,1199.61,1208486000
2/28/05,1203.6,1211.37,1198.13,1510958000
3/1/05,1210.41,1212.25,1203.6,1369678000
3/2/05,1210.08,1215.79,1204.22,1284155000
3/3/05,1210.47,1215.72,1204.45,1295285000
3/4/05,1222.13,1224.76,1210.47,1302157000
3/7/05,1225.31,1229.11,1222.12,1272265000
3/8/05,1219.43,1225.69,1218.57,1243606000
3/9/05,1207.01,1219.43,1206.66,1415959000
3/10/05,1209.25,1211.23,1201.41,1259133000
3/11/05,1200.08,1213.04,1198.15,1219186000
3/14/05,1206.83,1206.83,1199.51,1189840000
3/15/05,1197.75,1210.54,1197.75,1231076000
3/16/05,1188.07,1197.75,1185.61,1379809000
3/17/05,1190.21,1193.28,1186.34,1282706000
3/18/05,1189.64,1191.98,1182.78,2249501000
3/21/05,1183.79,1189.65,1178.82,1202019000
3/22/05,1171.71,1189.59,1171.63,1445869000
3/23/05,1172.53,1176.26,1168.7,1503850000
3/24/05,1171.42,1180.11,1171.42,1128220000
3/25/05,1171.42,1180.11,1171.42,1128220000
3/28/05,1174.28,1179.91,1171.42,1113672000
3/29/05,1165.36,1179.39,1163.69,1446877000
3/30/05,1181.41,1181.54,1165.36,1398089000
3/31/05,1180.59,1184.53,1179.49,1409748000
4/1/05,1172.92,1189.8,1169.91,1479720000
4/4/05,1176.12,1178.61,1167.72,1408356000
4/5/05,1181.39,1183.56,1176.12,1270001000
4/6/05,1184.07,1189.34,1181.39,1240204000
4/7/05,1191.14,1191.88,1183.81,1296355000
4/8/05,1181.2,1191.75,1181.13,1071278000
4/11/05,1181.21,1184.07,1178.69,1008479000
4/12/05,1187.76,1190.17,1170.85,1370668000
4/13/05,1173.79,1187.76,1171.4,1368426000
4/14/05,1162.05,1174.67,1161.7,1608319000
4/15/05,1142.62,1162.05,1141.92,1966143000
4/18/05,1145.98,1148.92,1139.8,1501499000
4/19/05,1152.78,1154.67,1145.98,1499613000
4/20/05,1137.5,1155.5,1136.15,1654078000
4/21/05,1159.95,1159.95,1137.5,1590700000
4/22/05,1152.12,1159.95,1142.95,1420970000
4/25/05,1162.1,1164.05,1152.12,1188150000
4/26/05,1151.74,1164.8,1151.74,1269040000
4/27/05,1156.38,1159.87,1144.42,1375096000
4/28/05,1143.22,1156.38,1143.22,1430889000
4/29/05,1156.85,1156.97,1139.19,1603269000
5/2/05,1162.16,1162.87,1154.71,1245283000
5/3/05,1161.17,1166.89,1156.71,1485408000
5/4/05,1175.65,1176.01,1161.17,1515913000
5/5/05,1172.63,1178.62,1166.77,1293173000
5/6/05,1171.35,1177.75,1170.5,1146919000
5/9/05,1178.84,1178.87,1169.38,1161426000
5/10/05,1166.22,1178.84,1162.98,1217802000
5/11/05,1171.11,1171.77,1157.71,1221777000
5/12/05,1159.36,1173.37,1157.76,1319325000
5/13/05,1154.05,1163.75,1146.18,1466486000
5/16/05,1165.69,1165.75,1153.64,1153011000
5/17/05,1173.8,1174.35,1159.86,1274689000
5/18/05,1185.56,1187.9,1173.8,1537162000
5/19/05,1191.08,1191.09,1184.49,1174538000
5/20/05,1189.28,1191.22,1185.19,1112083000
5/23/05,1193.86,1197.44,1188.76,1104832000
5/24/05,1194.07,1195.29,1189.87,1120690000
5/25/05,1190.01,1194.07,1185.96,1089975000
5/26/05,1197.63,1198.95,1190.01,1090680000
5/27/05,1198.78,1199.56,1195.28,825523600
5/30/05,1198.78,1199.56,1195.28,825523600
5/31/05,1191.5,1198.78,1191.5,1252261000
6/1/05,1202.27,1205.64,1191.03,1168117000
6/2/05,1204.29,1204.67,1198.42,1165265000
6/3/05,1196.02,1205.09,1194.55,1068466000
6/6/05,1197.51,1198.78,1192.75,941636000
6/7/05,1197.26,1208.85,1197.26,1195881000
6/8/05,1194.67,1201.97,1193.33,1095766000
6/9/05,1200.93,1201.86,1191.09,1203825000
6/10/05,1198.11,1202.79,1192.64,1053017000
6/13/05,1200.82,1206.03,1194.51,1027179000
6/14/05,1203.91,1207.53,1200.18,1062613000
6/15/05,1206.58,1208.08,1198.66,1160370000
6/16/05,1210.96,1212.1,1205.47,1151105000
6/17/05,1216.96,1219.55,1210.93,1722949000
6/20/05,1216.1,1219.1,1210.65,1013730000
6/21/05,1213.61,1217.13,1211.86,1102973000
6/22/05,1213.88,1219.59,1211.69,1117417000
6/23/05,1200.73,1216.45,1200.72,1404828000
6/24/05,1191.57,1200.9,1191.45,1630152000
6/27/05,1190.69,1194.33,1188.3,1103601000
6/28/05,1201.57,1202.54,1190.69,1112726000
6/29/05,1199.85,1204.07,1198.7,1135409000
6/30/05,1191.33,1203.27,1190.51,1425992000
7/1/05,1194.44,1197.89,1191.33,1024429000
7/4/05,1194.44,1197.89,1191.33,1024429000
7/5/05,1204.99,1206.34,1192.49,1136762000
7/6/05,1194.94,1206.11,1194.78,1224327000
7/7/05,1197.87,1198.46,1183.55,1305492000
7/8/05,1211.86,1212.73,1197.2,1194812000
7/11/05,1219.44,1220.03,1211.86,1156128000
7/12/05,1222.21,1225.54,1216.6,1196848000
7/13/05,1223.29,1224.46,1219.64,1118803000
7/14/05,1226.5,1233.16,1223.29,1354324000
7/15/05,1227.92,1229.53,1223.5,1170001000
7/18/05,1221.13,1227.92,1221.13,983360800
7/19/05,1229.35,1230.34,1221.13,1343636000
7/20/05,1235.2,1236.56,1222.91,1452962000
7/21/05,1227.04,1235.83,1224.7,1429379000
7/22/05,1233.67,1234.19,1226.15,1155189000
7/25/05,1229.03,1238.36,1228.15,1065181000
7/26/05,1231.16,1234.42,1229.03,1207157000
7/27/05,1236.79,1237.64,1230.15,1220041000
7/28/05,1243.72,1245.15,1235.81,1185012000
7/29/05,1234.18,1245.04,1234.18,1124342000
8/1/05,1235.35,1239.1,1233.8,1051890000
8/2/05,1244.12,1244.69,1235.35,1273342000
8/3/05,1245.05,1245.86,1240.57,1263999000
8/4/05,1235.86,1245.04,1235.15,1174653000
8/5/05,1226.42,1235.86,1225.62,1123821000
8/8/05,1223.13,1232.28,1222.67,1044523000
