Dates,PX_LAST,PX_HIGH,PX_LOW
1/1/04,18.31,18.86,17.41
1/2/04,18.22,18.68,17.54
1/5/04,17.49,18.49,17.44
1/6/04,16.73,17.67,16.19
1/7/04,15.5,16.75,15.5
1/8/04,15.61,15.68,15.32
1/9/04,16.75,16.88,15.57
1/12/04,16.82,17.46,16.79
1/13/04,18.04,18.33,16.53
1/14/04,16.75,17.3,16.4
1/15/04,15.56,17.31,15.49
1/16/04,15,15.44,14.9
1/19/04,15,15.44,14.9
1/20/04,15.21,16.13,15.09
1/21/04,14.34,15.62,14.24
1/22/04,14.71,14.87,14.01
1/23/04,14.84,15.05,14.56
1/26/04,14.55,15.78,14.52
1/27/04,15.35,15.44,14.74
1/28/04,16.78,17.06,15.29
1/29/04,17.14,17.66,16.79
1/30/04,16.63,17.35,16.56
2/2/04,17.11,17.56,16.67
2/3/04,17.34,17.78,17.17
2/4/04,17.87,18.06,17.46
2/5/04,17.71,17.99,17.6
2/6/04,16,17.71,15.94
2/9/04,16.39,16.82,16.12
2/10/04,15.94,16.76,15.84
2/11/04,15.39,16.16,15.26
2/12/04,15.31,15.72,15.23
2/13/04,15.58,16.03,14.86
2/16/04,15.58,16.03,14.86
2/17/04,15.4,15.96,15.32
2/18/04,15.59,15.76,15.3
2/19/04,15.8,15.97,15.2
2/20/04,16.04,16.55,15.82
2/23/04,16.29,16.78,16.25
2/24/04,15.9,16.76,15.87
2/25/04,14.93,16.05,14.93
2/26/04,14.83,15.33,14.69
2/27/04,14.55,14.77,14.23
3/1/04,14.44,15.05,14.4
3/2/04,14.86,14.89,14.18
3/3/04,14.55,15.27,14.47
3/4/04,14.4,14.5,14.19
3/5/04,14.48,14.82,13.83
3/8/04,15.79,15.83,14.54
3/9/04,16.6,16.74,15.56
3/10/04,18.67,18.7,16.11
3/11/04,20.67,20.69,17.63
3/12/04,18.3,20.08,18.06
3/15/04,21.13,21.39,18.86
3/16/04,20.34,20.94,19.86
3/17/04,18.11,19.55,17.98
3/18/04,18.53,19.23,18.35
3/19/04,19.15,19.25,17.89
3/22/04,21.58,22.67,20.61
3/23/04,20.67,21.33,20.01
3/24/04,19.81,20.83,19.45
3/25/04,17.88,19.58,17.61
3/26/04,17.33,18.23,16.67
3/29/04,16.5,17.17,16.29
3/30/04,16.28,16.8,16.13
3/31/04,16.74,16.96,16.23
4/1/04,16.65,17.25,16.65
4/2/04,15.64,16.55,15.6
4/5/04,14.97,16.64,14.81
4/6/04,15.32,15.53,15.07
4/7/04,15.76,16.36,15.34
4/8/04,16.26,16.82,14.96
4/9/04,16.26,16.82,14.96
4/12/04,15.28,16.12,15
4/13/04,17.26,17.98,15.29
4/14/04,15.62,17.71,15.6
4/15/04,15.74,16.78,15.22
4/16/04,14.94,15.69,14.77
4/19/04,15.42,16.08,15.33
4/20/04,16.67,16.72,14.79
4/21/04,15.6,16.94,15.55
4/22/04,14.61,15.98,13.86
4/23/04,14.01,14.56,13.89
4/26/04,14.77,15.22,14.39
4/27/04,15.07,15.17,14.37
4/28/04,16.29,16.54,15.55
4/29/04,16.6,17.27,15.87
4/30/04,17.19,17.23,16.14
5/3/04,16.62,17.72,16.61
5/4/04,16.55,17.13,15.97
5/5/04,15.77,16.55,15.64
5/6/04,17.05,17.67,16.45
5/7/04,18.13,18.17,16.44
5/10/04,19.77,20.2,18.99
5/11/04,18.57,19.28,17.94
5/12/04,18.14,20.41,18.14
5/13/04,18.86,18.92,17.97
5/14/04,18.47,19.27,18.06
5/17/04,19.96,20.45,19.65
5/18/04,19.33,19.7,19.14
5/19/04,18.93,18.93,17.58
5/20/04,18.67,19.25,18.55
5/21/04,18.49,18.74,18
5/24/04,18.08,18.82,17.96
5/25/04,15.96,18.42,15.73
5/26/04,15.97,16.3,15.78
5/27/04,15.28,15.86,15.19
5/28/04,15.5,15.65,15.39
5/31/04,15.5,15.65,15.39
6/1/04,16.3,16.96,16.19
6/2/04,16.08,16.7,15.95
6/3/04,17.03,17.04,16.16
6/4/04,16.78,16.9,15.82
6/7/04,15.39,16.7,15.33
6/8/04,15.01,15.88,15
6/9/04,15.39,15.46,14.81
6/10/04,15.04,15.35,14.92
6/11/04,15.04,15.35,14.92
6/14/04,16.07,16.36,15.54
6/15/04,15.05,15.35,14.72
